Name,Batch No.,Barcode,Purchase Price,Selling Price,StockQuantity,StockValue
1 INCH BALCO SUCTION HOSE,,240.032.036,1122.73,1566.18,11.0 COIL,12350.03
1/2 INCH BALCO GARDEN HOSE,,240.020.037,550.93,615.12,15.0 COIL,8263.95
100ML BALCO SOLVENT CEMENT,,250.101.038,55.09,50.82,0.0 PCS,0.0
110MM 4KG BALCO UPVC WP/G,,201.110.040,105.93,134.89,0.0 MTR,0.0
110MM 4KG BALCO UPVC WP/ISI/LG,,206.110.040,116.75,143.55,265.0 MTR,30938.75
110MM 4KG BALCO UPVC WP/L/W,,202.110.040,109.71,134.89,145.0 MTR,15907.95
110MM 6KG BALCO UPVC ELBOW WP/ISI/LG,,226.110.050,82.47,92.07,83.0 PCS,6845.01
110MM 6KG BALCO UPVC TEE WP/ISI/LG,,226.110.056,113.52,126.72,56.0 PCS,6357.12
110MM 6KG BALCO UPVC WP/ISI/LG,,206.110.060,197.06,242.3,25.0 MTR,4926.5
110MM BALCO UPVC SANILIGHT WP/G,,201.110.009,82.55,93.8,5.0 MTR,412.75
140MM 4KG BALCO UPVC WP/G,,201.140.040,216.82,276.95,0.0 MTR,0.0
160MM 2.5KG BALCO UPVC WP/G,,201.160.025,169.16,215.57,20.0 MTR,3383.2
160MM 2.5KG CUTTING PIPE BALCO UPVC WPF,,201.160.010,59.68,56.1,0.0 PCS,0.0
160MM 4KG BALCO UPVC WP/G,,201.160.040,265.38,335.61,0.0 MTR,0.0
160MM 4KG-9NCH CUTTING PIPE,,201.160.020,78.05,85.8,13.0 PCS,1014.65
16MM BALCO CORRUGATED FLEXIBLE CONDUIT/B,,213.016.035,4.86,5.68,200.0 MTR,972.0
16MM LIGHT BALCO RPVC EC/ISI/B,,218.016.001,8.18,9.41,300.0 MTR,2454.0
20/25MM BALCO MULTI ADAPTOR ABS ECF,,233.000.027,6.86,7.66,400.0 PCS,2744.0
200MM 2.5KG BALCO UPVC WP/G,,201.200.025,302.69,358.88,5.0 MTR,1513.45
200MM 2.5KG CUTTING PIPE BALCO UPVC WPF,,201.200.010,68.87,79.2,24.0 PCS,1652.88
20MM 10KG BALCO UPVC WP/G,,201.020.100,10.93,13.37,0.0 MTR,0.0
20MM 10KG BALCO UPVC WP/ISI/LG,,206.020.100,11.03,14.11,585.0 MTR,6452.55
20MM 10KG BALCO UPVC WP/W,,202.020.100,10.0,13.37,150.0 MTR,1500.0
20MM BALCO CORRUGATED FLEXIBLE CONDUIT/B,,213.020.035,5.26,6.14,600.0 MTR,3156.0
20MM BALCO CORRUGATED FLEXIBLE CONDUIT/I,,214.020.035,6.51,7.66,150.0 MTR,976.5
20MM BALCO CORRUGATED FLEXIBLE CONDUIT/W,,212.020.035,6.51,7.66,0.0 MTR,0.0
20MM BALCO DELUXE PP JN BOX 1 WAY ECF,,233.020.080,7.62,8.91,200.0 PCS,1524.0
20MM BALCO DELUXE PP JN BOX 2 WAY ECF,,233.020.081,7.62,8.91,200.0 PCS,1524.0
20MM BALCO DELUXE PP JN BOX 3 WAY ECF,,233.020.082,7.62,8.91,200.0 PCS,1524.0
20MM BALCO DELUXE PP JN BOX 4 WAY ECF,,233.020.083,7.62,8.91,200.0 PCS,1524.0
20MM BALCO DELUXE PP JN BOX H ECF,,233.020.025,7.28,9.64,20.0 PCS,145.6
20MM BALCO DELUXE PP JN BOX Y ECF,,233.020.026,7.28,9.64,20.0 PCS,145.6
20MM BALCO FEMALE ADAPTER,,233.020.018,7.25,8.11,190.0 PCS,1377.5
20MM BALCO METAL SADDLE STRAP,,230.020.099,0.95,1.12,1728.0 PCS,1641.6
20MM BALCO PP ELBOW ECF,,233.020.015,1.56,1.78,165.0 PCS,257.4
20MM BALCO PP ELBOW ECF/I,,234.020.015,2.76,3.23,50.0 PCS,138.0
20MM BALCO PP TEE ECF,,233.020.016,1.8,2.18,332.0 PCS,597.6
20MM BALCO PP TEE ECF/I,,234.020.016,3.15,3.7,45.0 PCS,141.75
20MM BALCO PVC COUPLER ECF,,233.020.017,3.02,3.38,500.0 PCS,1510.0
20MM BALCO PVC COUPLER ECF/IVORY,,234.020.017,3.02,3.38,0.0 PCS,0.0
20MM BALCO PVC DEEP JN BOX 1 WAY ECF/ISI,,238.020.031,20.69,23.1,35.0 PCS,724.15
20MM BALCO PVC DEEP JN BOX 2 WAY ECF/ISI,,238.020.032,21.22,23.69,0.0 PCS,0.0
20MM BALCO PVC DEEP JN BOX 2 WAY ECF/ISI/IVORY,,239.020.032,21.22,23.69,0.0 PCS,0.0
20MM BALCO PVC DEEP JN BOX 3 WAY ECF/ISI,,238.020.033,21.99,24.55,0.0 PCS,0.0
20MM BALCO PVC DEEP JN BOX 3 WAY ECF/ISI/IVORY,,239.020.033,21.99,24.55,0.0 PCS,0.0
